HOLE ID,FROM,TO,DEPTH,TOTAL,LITHOLOGY,X (Collar),Y (Collar),Z (Collar),THICKNESS,Sample ID,SiO2,Fet,FeO,P2O5,SO3,SPG,COMMENTS,,
S1,0,1,0.5,1,ALL,727575,3507350,1781.67,1,,,,,,,,,,
S1,1,7.5,4.25,6.5,BS,727575,3507350,1781.67,6.5,,,,,,,,,,
S1,7.5,10.5,9,3,HG,727575,3507350,1781.67,3,101,12.89,46.66,17.84,0.08,0,3.985,,,
S1,10.5,12.5,11.5,2,LG,727575,3507350,1781.67,2,,,,,,,,,,
S1,12.5,15.5,14,3,HG,727575,3507350,1781.67,3,102,17.13,36.26,11.3,0.07,0,3.478,,,
S1,15.5,16.5,16,1,HG,727575,3507350,1781.67,1,102,17.13,36.26,11.3,0.07,0,3.478,,,
S1,16.5,18.5,17.5,2,HG,727575,3507350,1781.67,2,102,17.13,36.26,11.3,0.07,0,3.478,,,
S1,18.5,23.5,21,5,LG,727575,3507350,1781.67,5,,,,,,,,,,
S1,23.5,24.5,24,1,BS,727575,3507350,1781.67,1,,,,,,,,,,
S1,24.5,28.5,26.5,4,LG,727575,3507350,1781.67,4,,,,,,,,,,
S1,28.5,29.5,29,1,BS,727575,3507350,1781.67,1,,,,,,,,,,
S1,29.5,30.5,30,1,LG,727575,3507350,1781.67,1,,,,,,,,,,
S1,30.5,31.5,31,1,BS,727575,3507350,1781.67,1,,,,,,,,,,
S1,31.5,32.5,32,1,LG,727575,3507350,1781.67,1,,,,,,,,,,
S1,32.5,33.5,33,1,BS,727575,3507350,1781.67,1,,,,,,,,,,
S2,0,5,2.5,5,BS,727560,3507320,1779.8,5,,,,,,,,,,
S2,5,6,5.5,1,LG,727560,3507320,1779.8,1,,,,,,,,,,
S2,6,24,15,18,BS,727560,3507320,1779.8,18,,,,,,,,,,
S2,24,27,25.5,3,HG,727560,3507320,1779.8,3,103,12.76,49.27,16.34,0.05,0,4.104,,,
S2,27,29.5,28.25,2.5,HG,727560,3507320,1779.8,2.5,104,4.46,55.97,19.64,0.11,0,4.199,,,
S2,29.5,36,32.75,6.5,BS,727560,3507320,1779.8,6.5,,,,,,,,,,
S3,0,17,8.5,17,BS,727505,3507327,1773.73,17,,,,,,,,,,
S3,17,19,18,2,LG,727505,3507327,1773.73,2,,,,,,,,,,
S3,19,23.7,21.35,4.7,BS,727505,3507327,1773.73,4.7,,,,,,,,,,
S3,23.7,27,25.35,3.3,LG,727505,3507327,1773.73,3.3,105,37,21.63,10.59,0.12,0.31,3.04,,,
S3,27,28,27.5,1,HG,727505,3507327,1773.73,1,105,37,21.63,10.59,0.12,0.31,3.04,,,
S3,28,29,28.5,1,LG,727505,3507327,1773.73,1,105,37,21.63,10.59,0.12,0.31,3.04,,,
S3,29,36,32.5,7,BS,727505,3507327,1773.73,7,,,,,,,,,,
S4,0,45,22.5,45,BS,727505,3507331,1774.78,45,,,,,,,,,,
S5,0,19,9.5,19,BS,727496,3507348,1774.81,19,,,,,,,,,,
S5,19,21,20,2,LG,727496,3507348,1774.81,2,106,28.22,32.52,9.06,0.17,0.34,3.448,,,
S5,21,24,22.5,3,HG,727496,3507348,1774.81,3,107,33.06,17.47,6.91,0.58,0,2.81,,,
S5,24,27,25.5,3,HG,727496,3507348,1774.81,3,108,28.8,20.05,10.29,0.73,0,3.04,,,
